TITULO;AUTOR;EDITORIAL;PRECIO ;TEMA;
ESTRELLAS MUERTAS ;BISAMA  ALVARO;ALFAGUARA;15000;LITERATURA CHILENA;
ESTRELLAS ROJAS;ARCOS  CRISTIAN;PLANETA;12000;DEPORTE;
ESTRES Y LIBERTAD;SLOTERDIJK PETER;EDICIONES GODOT ;10900;ENSAYO;
ETICA ANIMAL;KOCKEL  JULIA;LA OTRA H;12000;VERDE ANIMAL;
ETICA ANIMAL: EL COMIC PARA EL DEBATE;HAHN  OLIVAR;HERDER;13000;VERDE ANIMAL;
ETICA DE LA RELACION ENTRE HUMANOS Y ANIMALES;URSULA WOLF;PLAZA Y VALDES;16500;VERDE ANIMAL;
ETICA PARA AMADOR;SAVATER  FERNANDO;ARIEL;11500;FILOSOFIA;
ETICA POSMODERNA;BAUMAN  ZYGMUNT;SIGLO XXI;26054;FILOSOFIA;
ETICA PROTESTANTE Y EL ESPIRITU DEL CAPITALISMO  LA;WEBER  MAX;AKAL;13351;SOCIOLOGIA;
EUROPA UNA AVENTURA INACABADA;BAUMAN  ZYGMUNT;LOSADA;14500;SOCIOLOGIA;
EVA LUNA;ALLENDE  ISABEL;DEBOLSILLO;7000;LITERATURA CHILENA;
EXTREMAS ;LEILA GUERRIERO;UDP;33000;HISTORIA ;
EXTREMAS - LIELA GUERREIRO;LEILA GUERREIRO;UDP;33000;BIOGRAFÍA;
FACISMO;ALBRIGHT  MADELEINE;PAIDOS;23500;ENSAYO;
FAHRENHEIT 451;BRAUDBURY  RAY;PLANETA;9000;CIENCIA FICCION;
FAHRENHEIT 451;BRADBURY  RAY;DEBOLSILLO;7700;CIENCIA FICCION;
FAMILIA Y PSICOSIS ;TIZON  JORGE;HERDER;26500;PSICOLOGIA;
FASCISMO UNA ADVERTENCIA ;ALBRIGHT  MADELEINE;PAIDÓS;23500;SOCIOLOGIA;
FELICIDAD A GOLPE DE AUTOAYUDA; SIURANA APARISI;PLAZA Y VALDES;19800;PSICOLOGIA;
FEMINICIDIO EN CHILE;AINHOA VÁSQUEZ;CUARTO PROPIO ;10500;FEMINISMO;
FEMINICIDIO EN CHILE. UNA REALIDAD FICCIONADA;VASQUEZ ANHIOA;CUARTO PROPIO;10000;FEMINISMO;
FEMINISMO ;CAMERON  DEBORAH;ALIANZA ;15000;FEMINISMO;
FEMINISMO NEGROS: UNA ANTOLOGIA;MERCEDES FABARDO;TRAFICANTES DE SUEÑOS;25500;FEMINISMO;
FEMINISMOS LESBIANOS Y QUEER. REPRESENTACION ;BEATRIZ SUAREZ;PLAZA Y VALDES;22500;FEMINISMO;
FEMINISMOS  ANTOLOGIA DE TEXTOS FEMINISTAS;BEATRIZ RANEA;CATARATA;19000;FEMINISMO;
FENOMENOLOGÍA DEL ESPÍRITU;GEORG WILHELM FRIEDRICH HEGEL ·;FCE;15900;FILOSOFIA;
FESTIN DE CUERVOS  CANCION DE HIELO Y FUEGO I;MARTIN  GOERGE;RANDOM HOUSE ;24900;FANTASIA;
FESTIN DE CUERVOS  CANCION DE HIELO Y FUEGO IV;MARTIN  GOERGE;DEBOLSILLO;12000;FANTASIA;
FESTIN DE CUERVOS  CANCION DE HIELO Y FUEGO IV;MARTIN  GOERGE;RANDOM HOUSE ;24900;FANTASIA;
FICCIONES;BORGES  JORGE LUIS;BOLSILLO;7500;LITERATURA LATINOAMERICANA;
FILOSOFAR O MORIR. La actualidad de la Teoría Crítica;XABIER INSAUTI;PLAZA Y VALDES;12800;FILOSOFIA;
FILOSOFIA A MARTILLAZOS TOMO I;SZTAJNSZRAJBER  DARIO;PAIDOS;14500;FILOSOFIA;
FILOSOFIA EN 11 FRASES;SZTAJNSZRAJBER  DARIO;PAIDÓS;14500;FILOSOFIA;
FILOSOFÍA PARA TODOS. LA HISTORIA DE LAS IDEAS COMO NUNCA TE;GUILLERMO GALLARDO MORAN;ANAYA;29800;FILOSOFIA;
FIREFIGHT;SANDERSON  BRANDON;NOVA;12000;CIENCIA FICCION;
FLOR DE ENAMORADOS;INCONTABLES;LOM;2500;POESIA;
FLORES DEL MAL  LAS;BAUDELAIRE  CHARLES;AKAL;14600;POESIA;
FLORES PARA HITLER;COHEN  LEONARD;VISOR LIBROS ;17000;POESIA;
FORTUNAS DEL FEMINISMO;FRASER  NANCY;TRAFICANTES DE SUEÑOS;22500;FEMINISMO;
FOUCHE RETRATO DE UN HOMBRE POLITICO;ZWEIG  STEFAN;ACANTILADO;31000;BIOGRAFIA;
FRACTURA;NEUMAN  ANDRES ;ALFAGUARA;16500;LITERATURA UNIVERSAL;
FRAY HILARIO MARTINEZ SIGUIENDO LAS HUELLAS DE SU SANTERIA ;TRIVERO  ALBERTO;TACITAS;9000;ENSAYO;
FREUD;JACCARD  ROLAND;ARIEL;15500;PSICOLOGIA;
FREUD PARA PRINCIPIANTES;APPIGNANESI. RICHARD;LONGSELLER;14600;PSICOLOGIA;
FREUD  UN DESPERTAR DE LA HUMANIDAD ;COCCOZ  VILMA;GREDOS;29500;PSICOLOGIA;
FUE UN BESO TONTO;MAXWELL  MEGAN;PLANETA;17000;NOVELA ROMANTICA;
FUEGOS ARTIFICIALES ;MARIN  GERMAN;EDICIONES ;11000;LITERATURA CHILENA;
FUENZALIDA ;FERNANDEZ  NONA;MONDADORI;14000;LITERATURA CHILENA;
FUERA DE LUGAR;ÓSCAR CONTARDO;UDP;14000;;
GABRIELA MISTRAL TALA;GABRIELA MISTRAL;UDP;13000;POESIA;
GENTE PELIGROSA;BLOM  PHILLIPP;ANAGRAMA;25000;ENSAYO;
GEOGRAFIA DE PAJAROS;CLARO  FERNANDO;LIBERALIA;12000;INFANTIL;
GHANDI PARA PRINCIPAINTES ;RECALDE  MARTA;LONGSELLER;12000;FILOSOFIA;
GOBERNAR A TRAVES DE LA DUEDA ;LAZZARATO MAURIZIO;AMORRORTU EDITORES ;24900;ENSAYO;
GOLES SAGRADOS DEL FUTBOL CHILENO;ABARCA  PATRICIO;PLANETA;10000;DEPORTE;
GRAMSCI ;LEAL  ANTONIO ;CAMBIO 21;15900;FILOSOFIA;
GRAMSCI CUENTOS DE CARCEL;LEAL  ANTONIO;AUTOEDICIONES;20000;FILOSOFIA;
GREMIOS EMPRESARIALES  POLITICA Y NEOLIBERALISMO;ALVAREZ  ROLANDO;LOM;10000;HISTORIA DE CHILE ;
GRIEGOS Y NOSOTROS  LOS;DETIENNE  MARCEL;AKAL;23800;MITOLOGIA;
GRMSCI PARA PRINCIPIANTES;COHAN  NESTOR;LONGSELLER;14600;FILOSOFIA;
GUERRA DEL FIN DEL MUNDO  LA - PDL;VARGAS LLOSA  MARIO;PUNTO DE LECTURA;10000;LITERATURA LATINOAMERICANA;
GUERRA DEL MUNDO  LA (TD);FERGUSON  NIALL;DEBATE;30000;ENSAYO;
GUERRA SIN CESAR;BUKOWSKI  CHARLES;VISOR LIBROS ;18200;POESIA;
GUERRA Y PAZ ;QUINO;LA FLOR ;10900;INFANTIL;
GUERRILLERO DEL TIEMPO CONVERSACIONES CON FIDEL;KATIUSKA BLANCO;;32300;BIOGRAFIA;
GUIA DE EL CAPITAL DE MARX;HARVEY  DAVID;AKAL;28000;SOCIOLOGIA;
GUIA DEFINITIVA DE INICIACION AL VEGANISMO ;BRENDA  DAVIS;TXALAPARTA;28000;VERDE ANIMAL;
GUIA DEL PERRO MESTIZO CHILENO;INGUS MARIN  CARLA;PLANETA;12000;VERDE ANIMAL;
GUIA PARA ENTENDER A MARX  UNA;REISS  EDWARD;SIGLO XXI;17200;FILOSOFIA;
H. MARCUSE Y LOS ORÍGENES DE LA TEORÍA CRÍTICA;JOSE MANUEL ROMERO  HERBERT MARCUSE;PLAZA Y VALDES;17500;FILOSOFIA;
HACIA UN FUTURO VEGANO ;TOBIAS LEENAERT;PLAZA Y VALDES;15500;VERDE ANIMAL;
HAMBRUNA ROJA;APPLEBAUM  ANNE;DEBATE;19500;HISTORIA ;
HAZAÑAS Y GRANDESAS DE LOS ANIMALES CHILENOS;MONTECINOS  SONIA ;CATALONIA;15500;VERDE ANIMAL;
HECHO EN CHILE;MELLADO  JUAN PABLO;PLANETA;15500;COCINA;
HECHOS CONSUMADOS;JUAN RADRIGAN;LOM;2600;LITERATURA CHILENA;
HEGEL Y LAS NUEVAS LOGICAS DEL MUNDO Y DEL ESTADO ;Ricardo Espinoza Lolas;AKAL;25000;FILOSOFIA;
HEGEMONIA O SUPERVIVENCIA;CHOMSKY  NOAM;B DE BOLSILLO;8000;SOCIOLOGIA;
HEGEMONIA Y ESTRATEGIA SOCIALISTA ;MOUFE  CHANTAL;SIGLO XXI;20000;FILOSOFIA;
HEIDDEGGER EL NAZISMO  LAS MUJERES  LA FILOSOFO;BADIOU  ALAIN;AMORRORTU EDITORES ;22900;FILOSOFIA;
HELIO CON HACE;SUSANA GOMEZ;TAKATUKA;15900;INFANTIL;
HERMANN HESSE SU VIDA Y SU OBRA;BALL  HUGO;ACANTILADO;17000;BIOGRAFIA;
HERMANO HITLER;VARIOS;HERDER;15000;HISTORIA ;
HEROES;BARADIT  JORGE;SUDAMERICANA;12990;HISTORIA DE CHILE ;
HIJAS DE LA IGUALDAD  HEREDERAS DE LAS INJUSTICIAS;SIMON  MARIA ELENA;LIBERALIA;20000;FEMINISMO;
HIJAS E HIJOS DE LA REBELION;ALVAREZ  ROLANDO;LOM;14500;HISTORIA DE CHILE ;
HIPERCULTURALIDAD ;CHUL HAN  BYUNG;HERDER;13500;FILOSOFIA;
HISTORIA CRITICA DE LA LITERATURA CHILENA;SUBERCASEAUX  BERNARDO;LOM;12000;LITERATURA CHILENA;
HISTORIA DE CHILE;RAMON  ARMANDO;CATALONIA;13500;HISTORIA DE CHILE ;
HISTORIA DE LA REVOLUCION RUSA;TROSKY;TXALAPARTA;31500;HISTORIA ;
HISTORIA DE LOS ANIMALES / CLAUDO ELIANO;AA.VV. (EDICION COMPLETA);AKAL;25900;VERDE ANIMAL;
HISTORIA DE LOS ANTIGUOS MAPUCHES DEL SUR ;BENGOA  JOSE;CATALONIA;21000;HISTORIA DE CHILE ;
HISTORIA DE MAYTA;VARGAS LLOSA  MARIO;DEBOLSILLO;7500;HISTORIA DE CHILE ;
HISTORIA DE MIS PIES;GALENDE  FEDERICO ;ALQUIMIA;9900;LITERATURA CHILENA;
HISTORIA DE UNA GAVIOTA Y DEL GATO QUE LE ENSEÑÓ A VOLAR;SEPULVEDA  LUIS;TUSQUETS;9700;LITERATURA CHILENA;
HISTORIA DEL COMUNISMO EN CHILE;SERGIO GREZ;LOM;14000;HISTORIA DE CHILE ;
HISTORIA DEL MOVIEMINTO DE MUJERES EN PALESTINA;MAR GIJON;TXALAPARTA;18500;HISTORIA ;
HISTORIA DEL PUEBLO MAPUCHE;BENGOA  JOSE;LOM;15000;HISTORIA DE CHILE ;
HISTORIA DEL SIGLO XX CHILENO ;CORREA  SOFIA;RANDOM HOUSE ;17500;HISTORIA DE CHILE ;
HISTORIA DEL TRAP EN CHILE.;IGNACIO MOLINA;ALQUIMIA;14900;MÚSICA;
HISTORIA DESCONOCIDAS DE CHILE;PORTALES  FELIPE ;CATALONIA;13800;HISTORIA DE CHILE ;
HISTORIA DESCONOCIDAS DE CHILE II;PORTALES  FELIPE ;CATALONIA;13800;HISTORIA DE CHILE ;
HISTORIA FREAK DE CHILE VOLUMEN I;BARAÑAO  JOAQUIN;PLANETA;13500;HISTORIA DE CHILE ;
HISTORIA FREAK DEL FUTBOL;BARAÑAO  JOAQUIN;PLANETA;14500;DEPORTE;
HISTORIA GENERAL FREAK;BARAÑAO  JOAQUIN;PLANETA;13500;HISTORIA DE CHILE ;
HISTORIA SECRETA DE CHILE ;BARADIT  JORGE;SUDAMERICANA;16500;HISTORIA DE CHILE ;
HISTORIA SECRETA DE CHILE 2;BARADIT  JORGE;SUDAMERICANA;11000;HISTORIA DE CHILE ;
HISTORIA SECRETA DE CHILE 3;BARADIT  JORGE;SUDAMERICANA;11000;HISTORIA DE CHILE ;
HISTORIA SECRETA MAPUCHE;CAYUQUEO  PEDRO;CATALONIA;16900;HISTORIA DE CHILE ;
HISTORIA UNIVERSAL DE LA INFAMIA ;BORGES  JORGE LUIS ;BOLSILLO;7500;LITERATURA LATINOAMERICANA;
HISTORIA UNIVERSAL FREAK;BARAÑAO  JOAQUIN ;PLANETA;12000;HISTORIA ;
HISTORIA Y VERDAD ;PAUL RICOEUR;FCE;22500;FILOSOFIA;
HISTORIAS DE CRONOPIOS Y DE FAMAS;CORTAZAR  JULIO;ALFAGUARA;10000;LITERATURA LATINOAMERICANA;
HISTORIAS DE FRACASOS Y FRACASADOS QUE CAMBIARON EL MUNDO;STERMAN  DEMIAN;PAIDÓS;13500;AUTOAYUDA;
HISTORIAS DEL SIGLO XX CHILENO;CORREA  SOFIA;SUDAMERICANA;17000;HISTORIA DE CHILE ;
HISTORIAS DESDE LA SOLEDAD ;BENJAMIN  WALTER;EXTRATERRITORIAL;17500;FILOSOFIA;
HISTORIAS TARDÍAS;STEPHEN DIXON;ETERNA CADENCIA;16000;LITERATURA LATINOAMERICANA;
HITCH 22;HITCHENSM CHRISTOPHER;DEBATE;17500;BIOGRAFIA;
HOMBRE MOISES Y LA RELIGION MONOTEISTA  EL;FREUD  SIGMUND;AKAL;10800;PSICOLOGIA;
HOMBRES QUE YA NO HACEN SUFRIR POR AMOR ;CARIL HERRERA;CATARATA;18500;FEMINISMO;
HOROSCOPO CHINO 2020;ENGEL  PEDRO;CATALONIA;12000;ASTROLOGIA ;
HOUELLEBECQ ECONOMISTA;BERNARD MARIS;ANAGRAMA;15000;ENSAYO;
HUGO CHAVEZ: MI PRIMERA VIDA;RAMONET  IGNACIO;TAURUS;22500;BIOGRAFIA;
HUIDOBRO LA MARCHA INFINITA;VOLODIA TEITELBOIM;LOM;12600;HISTORIA DE CHILE ;
IDEA DE COMUNISMO ;ZIZEK  SLAJOV;AKAL;30000;SOCIOLOGIA;
IDEA DE LA PROSA;AGAMBEN  GIORGIO;ADRIANA HIDALGO;16800;FILOSOFIA;
IDEOLOGIA;EAGLETON  TERRY;PAIDÓS;19500;FILOSOFIA;
IDEOLOGIA INDIA  LA;ANDERSON  PERRY;AKAL;22000;HISTORIA;
IDEOLOGIA Y ENFERMEDAD ;SZASZ THOMAS;AMORRORTU EDITORES;10484;PSICOLOGIA;
IDEOLOGIAS RELIGIOSAS LOS TRAFICANTES DE MILAGROS Y MISTERIOS;PUENTE OJEA  GONAZALO;AKAL;22000;SOCIOLOGIA;
ILIADA;HOMERO;GREDOS;12900;LITERATURA UNIVERSAL;
IMPERIUM ET CONSILIUM: POLITICA EXTERIOR AMERICANA;ANDERSON  PERRY;AKAL;27251;HISTORIA;
IN MEMORIAM;ZURITA  RAUL;TACITAS;9000;LITERATURA CHILENA;
INDUSTRIA DEL HOLOCAUSTO (TERCERA ED.);FINKELSTEIN  NORMAN G.;AKAL;21612;HISTORIA ;
INDUSTRIAS PIENSAN DE LA INNOVACION TECNO;ANDER GURRUTXAGA;CATARATA;24800;ENSAYO;
INQUILINOS EN LA HACIENDA DE SU EXCELENCIA;TANCREDO PINOCHET;LOM;2600;LITERATURA CHILENA;
INRI;ZURITA  RAUL;MANSALVA;15500;POESIA;
INSUMISOS;TODOROV  TZVETAN;GALAXIA GUTENBERG;16000;ENSAYO;
INTELIGENCIA INTUITIVA;GLADWELL  MALCOM;TAURUS;16500;PSICOLOGIA;
INTRODUCCION A JUNG;YOUNG - EISENDRATH  POLLY & DAWSON  TERENCE;AKAL;19100;PSICOLOGIA;
INTRODUCCION A LA LITERATURA GRIEGA;BOWRA;GREDOS;23500;MITOLOGIA;
INTRODUCCION AL PSICONALISIS ;FREUD  SIGMUND;LA OTRAB;10000;MANGA;
INVESTIGACION DE ECOSALUD EN LA PRACTICA;DOMINEQUE;PLAZA Y VALDES;28000;VERDE ANIMAL;
IZQUIERDA FIN DE UN CICLO;IGNACIO SÁNCHEZ-CUENCA;CATARATA;15000;ENSAYO;
IZQUIERDA UNIDA;LASSO  ALVARO;OVEROL ;10000;LITERATURA CHILENA;
JACQUES LACAN.UNA INTRODUCCION ;SEAN HOMER;PLAZA Y VALDES;16500;PSICOLOGIA;
JAIME ROOS EL MONTEVIDEANO VIDA Y OBRA;ALFARO  MILITA;PLANETA;23500;BIOGRAFIA ;
JARDIN;PABLO SIMONETI;ALFAGUARA;6009;LITERATURA CHILENA;
JAVIERA DESCUBRE EL WALMAPU;VASQUEZ NADIA;CATALONIA;10000;INFANTIL;
JERUSALEN LA CIUDAD IMPOSIBLE ;MEIR MARGALIT;CATARATA;18200;ENSAYO;
JESUS EL HIJO DEL HOMBRE ;GIBRAN  KHALIL;EL BARQUERO;15200;FILOSOFIA;
JEZABEL;IRENE  NEMIROVSKY;SALAMDARA;15000;LITERATURA UNIVERSAL;
JORGE GONZALEZ;CONSTANZA GUTIERREZ ;HUEDERS;8000;BIOGRAFIA;
JOSE MARIATEGUI Y EL SOCIALISMO DE NUESTRA AMERICA;MAZZEO  MIGUEL;QUIMANTU;8000;FILOSOFIA;
JOSE MIGUEL VARAS ;VARAS  JOSE MGUEL ;LOM;21000;LITERATURA CHILENA;
JOSE ORTEGA Y GASSET;GRACIA  JORDI;TAURUS;17400;BIOGRAFIA;
JOSEFINA  MANUEL Y EL GI ;DIAZ  SOL ;CATALONIA;13500;PSICOLOGIA;
JUEGOS DE TRONOS I;MARTIN  GOERGE;PLANETA;21500;FANTASIA;
KARL MARX;STEDMAN GARETH;TAURUS;27500;BIOGRAFIA;
KARL MARX Y LA REFORMA AL SOCIALISMO ;BERNSTEIN  EDUARD;INDOMIDA ;14000;FILOSOFIA;
KIKE Y LAS BARBIES;PIJA LINDENBAUM;CUATRO TUERCAS;16500;INFANTIL;
KIOTO;KAWABATA  YASUNARI;EMECE;13500;LITERATURA UNIVERSAL;
KPD HISTORIA SOCIAL Y MEMORIA;BRIGNARDELLO  ANDRES;AMERICA EN MOVIMIENTO ;8000;HISTORIA DE CHILE ;
KROPOTKIN Y LA TRADICIÓN INTELECTUAL ANARQUISTA   ;JIM MAC LAUGHLIN        ;Ariel            ;24900;ENSAYO;
LA ABUELA; PUEYO  CHRIS;PLANETA;12500;LITERATURA UNIVERSAL;
LA ABUNDANCIA;DERECK WALCOTT;VISOR LIBROS ;13000;POESIA;
LA ACTIVIDAD FORESTAL;FEDERICO FALCO;MONTACERDOS ;12900;LITERATURA UNIVERSAL;
LA ANARQUÍA SEGÚN BAKUNIN            ;SAM DOLGOFF             ;Ariel            ;22900;ENSAYO ;
LA AUTOPSIA ;MAYOL  ALBERTO;CATALONIA;15000;ENSAYO;
LA AVENTURA DE LA FILOSOFIA FRANCESA;BADIOU  ALAIN;LOM;7500;FILOSOFIA;
LA BAILARINA DE IZU;KAWABATA  YASUNARI;EMECE;13500;LITERATURA UNIVERSAL;
LA BARRERA DEL PUDOR;PABLO SIMONETI;ALFAGUARA;17500;LITERATURA CHILENA;
LA BELLE EPOQUE CHILENA;VICUÑA. MANUEL;CATALONIA;13000;HISTORIA DE CHILE ;
LA BOLCHEVIQUE ENAMORADA ;KOLONTAI  ALEXANDRA;TXALAPARTA;16500;FEMINISMO;
LA CAIDA DE GONDOLIN;TOLKIEN  J.R.R.;MINOTAURO;23500;FANTASIA;
LA CANCION DE LAS SOMBRAS;CONOLLY  JOHN;TUSQUETS;19500;TERROR / SUSPENSO ;
LA CASA DE LOS ESPIRITUS ;ALLENDE  ISABEL;DEBOLSILLO;9000;LITERATURA CHILENA;
LA CASA Y EL LADRILLO ;BENEDETTI  MARIO ;VISOR LIBROS ;7600;POESIA;
LA CATADORA DE HITLER;ALEXABDER  V S;PLANETA;15500;NOVELA HISTORICA;
LA CENA SECRETA;SIERRA  JAVIER;BOOKET;11000;NOVELA HISTORICA;
LA CIUDAD ESTA TRISTE;DIAZ ETEROVIC  RAMON ;LOM;5000;LITERATURA CHILENA;
LA CIUDAD PERDIDA DE Z;GRANN  DAVID;PLAZA JINES;8500;NOVELA HISTORICA;
LA CIUDADANIA DEL OLVIDO ;HUIDOBRO  VICENTE;LOM;2500;POESIA;
LA CIVILIZACION EN LA MIRADA;MARY BEARD;CRITICA;19500;HISTORIA ;
LA COLA DEL DIABLO;DIAZ ETEROVIC  RAMON ;LOM;10000;LITERATURA CHILENA;
LA COLERA DE AQUILES ;SANCHEZ  MARCO ;GREDOS;17800;MITOLOGIA;
LA COMUNA DE PARIS;CEAMANOS  ROBERTO ;CATARATA;7500;HISTORIA ;
LA COMUNA DE PARIS 1871;MARX ENGELS LENIN;AKAL ;20500;FILOSOFIA;
LA CONDICION OBRERA;WEITM SIOMNE;EL CUENCO DE PLATA;15000;SOCIOLOGIA;
LA CONJURA ;GONZALEZ  MONICA;CATALONIA;24500;HISTORIA DE CHILE ;
LA CONQUISTA DE LA IRONIA MIGUEL CERVANTES;GRACIA  JORDI;TAURUS ;17500;BIOGRAFIA;
LA CONSTITUCION CHILENA ;BASSA  JAIME;LOM;15000;ENSAYO;
LA CONSTITUCION EN DEBATE;SOTO  FRANCISCO;LOM;12000;ENSAYO;
LA CONSTITUCION QUE QUEREMOS ;VV.AA;LOM;16500;ENSAYO;
LA CONSTITUYENTE REVOLUCIONARIA ;ALVAREZ  MARCO;LOM;7000;HISTORIA DE CHILE ;
LA CONSTRUCCION DEL SUPERHOMBRE;ONFRAY MICHEL;EL CUENCO DE PLATA;18000;FILOSOFIA;
LA CONTRASUBVERSION COMO POLITICA;GUTIERREZ  CRISTIAN;LOM;8500;HISTORIA DE CHILE ;
LA CREACION DE LA AMENAZA ROJA;MARCELO CASALS;LOM;23000;HISTORIA DE CHILE ;
LA CULTURA DEL MIEDO I;CREPON  MARC;LOM;6000;HISTORIA DE CHILE ;
LA CULTURA DEL MIEDO II;CREPON  MARC;LOM;6000;HISTORIA DE CHILE ;
LA DECADENCIA DEL IMPERIO EEUU EN UN MUNDO CAOTICO ;WALLERSTEIN  IMMANUEL;TXALAPARTA;18500;ENSAYO;
LA DEMOCRACIA CONTRA EL ESTADO;MIGUEL ABENSUR;CATARATA;21500;SOCIOLOGIA;
LA DESTRUCCION DE LA CIUDAD;JUANMA AGUILES;CATARATA;17400;VERDE ANIMAL;
LA DOMINACION MASCULINA;BOURDIEU  PIERRE;ANAGRAMA;14000;FEMINISMO;
LA ECONOMIA DEL BIEN COMUN;FELBER  CHRISTIAN;PAIDÓS;17000;ENSAYO;
LA EDUCACION DEL SER EMOCIONAL ;CASASSUS  JUAN;CUARTO PROPIO;15000;PSICOLOGIA;
LA EMBRIAGUEZ DE LAS ENCUESTAS ;GARRIGOU  ALAIN;LOM;6500;ENSAYO;
LA ENERGIA DE LOS ESCLAVOS;COHEN  LEONARD;VISOR LIBROS ;11800;POESIA;
LA ENFERMEDAD DE ALZHEIMER;FURTMAYS SCHUH  ANNELIES;HERDER;12000;PSICOLOGIA;
LA ERA DE ACUARIO ;HALES JAIME;CATALONIA;15000;ASTROLOGIA ;
LA ERA DE LA REVOLUCION 1789 - 1848;HOBSBAWM  ERIC;CRITICA;23000;HISTORIA ;
LA ERA DEL IMPERIO 1875 - 1914;HOBSBAWM  ERIC;CRITICA;27000;HISTORIA ;
LA EROSION DE LA DEMOCRACIA;FUENTES   CLAUDIO ;CATALONIA;12000;ENSAYO;
LA ESCRITURA DE PEDRO LEMEBEL COMO PROYECTO CULTURAL Y POLÍTICO ;JUAN POBLETE ;CUARTO PROPIO ;12000;LITERATURA CHILENA;
LA ESCUELA DEL ABURRIMIENTO ;AMARA  LUIGI;SEXTOPISO;13000;SOCIOLOGIA;
LA ESTETICA NAZI UN ARTE DE LA ETERNIDAD;MICHAUD  ERIC;ADRIANA HIDALGO;29500;ENSAYO;
LA EXPERIENCIA TOTALITARIA-RUSTICA;TODOROV  TZVETAN;GALAXIA GUTENBERG;22000;ENSAYO;
LA EXPULSION DE LO DISTINTO;CHUL HAN  BYUNG;HERDER;13500;FILOSOFIA;
LA FABRICA DE LA FELICIDAD ;FRANCO BERARDI ;TRAFICANTES DE SUEÑOS;11500;ENSAYO;
LA FACULTAD DE LAS COSAS INUTILES ;DOMBROVSKI  YURI;SEXTOPISO;21000;LITERATURA UNIVERSAL;
LA FANTASIA DE LA INDIVUDALIDAD ;ALMUDENA HERNANDO;TRAFICANTES DE SUEÑOS;18000;SOCIOLOGIA;
LA FARSA DE LAS STARTUPS ;JAVIER LÓPEZ MENACHO;CATARATA;17500;ENSAYO;
LA FORMACION DEL IMAGINARIO POLITICO DE LUIS EMILIO RECABARREN;JAIME MASSARDO;LOM;11200;HISTORIA DE CHILE ;
LA FUERZA DE EXISTIR ;ONFRAY MICHEL;ANAGRAMA;20800;FILOSOFIA;
LA GAYA CIENCIA ;NIETZSCHE  FRIEDRICH;EL BARQUERO;18800;FILOSOFIA;
LA GRAN BRECHA;STIGLITZ  JOSEPH;TAURUS;19000;ENSAYO;
LA GRAN COLUSION;GARIN  RENATO;CATALONIA;16000;ENSAYO;
LA GRAN ESTAFA;GONZALEZ  MONICA;CATALONIA;20500;ENSAYO;
LA GRAN MENTIRA;CLEVELAND  KAREN;PLANETA;16500;NOVELA POLICIAL ;
LA GUERRA CIVIL ESPAÑOLA;BEEVOR  ANTONY;CRITICA;23500;HISTORIA ;
LA GUERRA DE LOS MUNDOS;HG  WELLS;ANAYA;13000;CIENCIA FICCION;
LA HERMANA MENOR. UN RETRATO DE SILVINA OCAMPO;MARIANA ENRÍQUEZ;UDP;12000;BIOGRAFÍA;
LA HIPNOSIS;FREUD  SIGMUND;ARIEL;23500;PSICOLOGIA;
LA HISTORIA DE LAS COSAS;LEONARD  ANNIE;FONDO  DE CULTURA;15000;VERDE ANIMAL;
LA HISTORIA DE LOS FANTASMAS;CLARKE  ROGER;SIRUELA ;24600;MITOLOGIA;
LA HISTORIA DEL NINTENDO VOL. 2;FLORENT GORGES;HEROES DE PAPEL;24000;VIDEOJUEGOS;
LA IDEA DE EUROPA;STEINER  GEORGE;SIRUELA ;13500;SOCIOLOGIA;
LA IDEOLOGIA DEL ESFUERZO ;MOYA;CATARATA;21800;ENSAYO;
LA IMAGINACION FEMINISTA;ROSA COBO;CATARATA;23500;FEMINISMO;
LA INESPERADA VERDAD SOBRE LOS ANIMALES;COOKE  LUCY;ANAGRAMA;21000;VERDE ANIMAL;
LA INTELIGENCIA AFECTIVA;TORO   ROLANDO;CUARTO PROPIO;10000;PSICOLOGIA;
LA IZQUIERDA QUE SALTO EL ALGORITMO;JUAN CARLOS MONEDERO;CATARATA;21700;ENSAYO;
LA LEY DEL ESPEJO;YOSHINORI NOGUCHI;COMANEGRA;8500;ASTROLOGIA;
LA LEY DEL MENOR ;MACEWAN  IAN;ANAGRAMA;19500;LITERATURA UNIVERSAL;
LA LIBERTAD ES UNA BATALLA CONSTANTE;ANGELA DAVIS;TXALAPARTA;19300;SOCIOLOGIA;
LA LITERATURA RUSA;PIOR KROPOTKIN;LA LINTERNA SORDA;24500;LITERATURA UNIVERSAL;
LA LLAMADA DE LA TRIBU ;VARGAS LLOSA  MARIO;ALFAGUARA;15500;LITERATURA LATINOAMERICANA;
LA MAGIA DE SER NOSOTROS ;BENAVENT  ELISABET;RANDOM HOUSE ;14000;NOVELA ROMANTICA;
LA MAMA DE TESLA NO QUIERE;ASA MENDEL;TRAFICANTES DE SUEÑOS;20000;INFANTIL;
LA MARAVILLOSA VIDA BREVE DE OSCAR WAO;DIAZ  JUNOT;MONDADORI;24500;LITERATURA UNIVERSAL;
LA MATERIA ETERNA E INTELIGENTE;RECABARREN  EMILIO;RUMBO EDITORES;15000;HISTORIA DE CHILE ;
LA MENTALIDAD MILITAR ;EINTEIN  ALBERT;ALPHA BECAY;15000;ENSAYO;
