TITULO;AUTOR;EDITORIAL;PRECIO ;TEMA;
BIG BANG  ESTALLIDO SOCIAL;MAYOL  ALBERTO;CATALONIA;14000;SOCIOLOGIA;
BIG DATA Y EL INTERNET DE LAS COSAS ;MARIA TASCON ;CATARATA;16000;ENSAYO;
BIG DATA. CONCEPTOS  TECNOLOGIAS Y APLICACIÓN;DAVID RIOS;CATARATA;16000;ENSAYO;
BIOPOLITICA PARA PRINCIPIANTES;RIOS  RUBEN;LONGSELLER;14600;FILOSOFIA;
BLANCA DE NEGRO;LEAL  BARTOLOME;ESPORA ;7000;LITERATURA CHILENA;
BOMBAS FUERA;JOHN STEINBECK;CAPITÁN SWING;16000;ENSAYO;
BORGES EN 90 MINUTOS;STRATHERN  PAUL;SIGLO XXI;7900;LITERATURA LATINOAMERICANA;
BORGES ESCENCIAL;BORGES  JORGE LUIS ;REAL ACADEMIA ESPAÑOLA;16500;LITERATURA LATINOAMERICANA;
BRACEA;URRIOLA  MALU;LOM;2500;POESIA;
BREVARIO DEL NEOLIBERALISMO;CARLOS TROMBEN;MANDRÁGORA ;8000;SOCIOLOGIA;
BREVE HISTORIA DE LA FILOSOFIA;GIANNINI  HUMBERTO;CATALONIA;20000;FILOSOFIA;
BREVE HISTORIA DE LA MARIHUANA EN CHILE Y EL MUNDO ;IBAÑEZ  MARCELO;PLANETA;12000;HISTORIA;
BREVE HISTORIA DE MI VIDA;HAWKING  STEPHEN;CRITICA;14500;BIOGRAFIA;
BROTA LA VIDA;MUMIA ABU-JAMAL;TXALAPARTA;16000;BIOGRAFIA;
BUEN ENTRENIMIENTO ;CHUL HAN  BYUNG;HERDER;13500;FILOSOFIA;
BUKOWSKI ESENCIAL: POESIA (BILUNGUE) ;BUKOWSKI  CHARLES;VISOR LIBROS ;20800;POESIA;
BUTAMALON;LABARCA  EDUARDO ;CATALONIA;24500;LITERATURA CHILENA;
CALENDARIO 2020: 50 AÑOS DEL TRIUNFO;VV.AA;HUEDERS;10000;HISTORIA DE CHILE ;
CALIBAN Y LA BRUJA;FEDERICI  SILVIA;TRAFICANTES DE SUEÑOS;28500;FEMINISMO;
CALLAME CON UN BESO;BLUE JEANS;PLANETA;22500;NOVELA ROMANTICA;
CALVIN NO SABE VOLAR LA HISTORIA DE UNA PAJARA;JANNIFER BERNE;TAKATUKA;17400;INFANTIL;
CALVIN  TEN CUIDADO EL PAJARO RATON ;JANNIFER BERNE;TAKATUKA;17400;INFANTIL;
CAMANCHACA;ZUÑIGA  DIEGO ;RANDOM HOUSE ;11500;LITERATURA CHILENA;
CAMBIAR LA EDUCACION PARA CAMBIAR EL MUNDO;NARANJO   CLAUDIO;CUARTO PROPIO;15000;PSICOLOGIA;
